id,time,label,type
joy 5,0,1,Happy
joy 5,2,1,Happy
joy 5,3,1,Happy
joy 5,4,1,Happy
joy 5,5,1,Happy
joy 5,6,1,Happy
joy 5,7,1,Happy
joy 5,8,1,Happy
joy 5,9,1,Happy
joy 5,10,1,Happy
joy 5,11,1,Happy
joy 5,13,1,Happy
joy 5,14,1,Happy
joy 5,15,1,Happy
joy 5,16,1,Happy
joy 5,19,1,Happy
joy 5,20,1,Happy
joy 5,21,1,Happy
joy 5,22,1,Happy
joy 5,23,1,Happy
joy 5,24,1,Happy
joy 5,25,1,Happy
joy 5,28,1,Happy
joy 5,29,1,Happy
joy 5,30,1,Happy
joy 5,31,1,Happy
joy 5,33,1,Happy
joy 5,34,1,Happy
joy 5,35,1,Happy
joy 5,36,1,Happy
joy 5,40,1,Happy
joy 5,41,1,Happy
joy 5,42,1,Happy
joy 5,43,1,Happy
joy 5,47,1,Happy
joy 5,48,1,Happy
annoy 3,25,0,Angry
annoy 3,26,0,Angry
annoy 3,27,0,Angry
annoy 3,36,0,Angry
annoy 3,37,0,Angry
annoy 3,38,0,Angry
annoy 3,39,0,Angry
annoy 3,40,0,Angry
annoy 3,41,0,Angry
annoy 3,42,0,Angry
annoy 3,43,0,Angry
annoy 3,51,0,Angry
annoy 3,52,0,Angry
annoy 3,53,0,Angry
annoy 3,54,0,Angry
annoy 3,55,0,Angry
annoy 3,56,0,Angry
annoy 3,64,0,Angry
annoy 3,65,0,Angry
annoy 3,66,0,Angry
annoy 3,67,0,Angry
annoy 3,68,0,Angry
annoy 3,69,0,Angry
annoy 3,84,0,Angry
annoy 3,85,0,Angry
annoy 3,86,0,Angry
annoy 3,87,0,Angry
annoy 3,88,0,Angry
annoy 3,89,0,Angry
annoy 3,90,0,Angry
annoy 3,101,0,Angry
annoy 3,102,0,Angry
annoy 3,103,0,Angry
annoy 3,104,0,Angry
annoy 3,105,0,Angry
annoy 3,106,0,Angry
annoy 3,111,0,Angry
annoy 3,112,0,Angry
annoy 3,113,0,Angry
annoy 3,114,0,Angry
annoy 3,115,0,Angry
annoy 3,116,0,Angry
annoy 3,117,0,Angry
annoy 3,118,0,Angry
annoy 3,119,0,Angry
annoy 3,120,0,Angry
annoy 3,121,0,Angry
annoy 3,130,0,Angry
annoy 3,132,0,Angry
annoy 3,133,0,Angry
annoy 3,149,0,Angry
annoy 3,150,0,Angry
annoy 3,151,0,Angry
annoy 3,152,0,Angry
annoy 3,153,0,Angry
annoy 3,154,0,Angry
annoy 3,162,0,Angry
annoy 3,163,0,Angry
joy 2,0,1,Happy
joy 2,1,1,Happy
joy 2,2,1,Happy
joy 2,3,1,Happy
joy 2,6,1,Happy
joy 2,7,1,Happy
joy 2,10,1,Happy
joy 2,11,1,Happy
joy 2,12,1,Happy
Anger 3,3,0,Anger
Anger 3,4,0,Anger
Anger 3,5,0,Anger
Anger 3,6,0,Anger
Anger 3,7,0,Anger
Anger 3,8,0,Anger
Anger 3,9,0,Anger
Anger 3,11,0,Anger
Anger 3,11,0,Anger
Anger 3,12,0,Anger
Anger 3,13,0,Anger
Anger 3,35,0,Anger
Anger 3,42,0,Anger
Anger 3,53,0,Anger
Anger 3,54,0,Anger
Anger 3,59,0,Anger
Anger 3,60,0,Anger
Anger 3,62,0,Anger
Anger 3,63,0,Anger
Anger 3,64,0,Anger
Anger 3,65,0,Anger
Anger 2,3,0,Angry
Anger 2,4,0,Angry
Anger 2,6,0,Angry
Anger 2,8,0,Angry
Anger 2,9,0,Angry
Anger 2,10,0,Angry
Anger 2,11,0,Angry
Anger 2,3,0,Angry
Anger 2,4,0,Angry
Anger 2,6,0,Angry
Anger 2,8,0,Angry
Anger 2,9,0,Angry
Anger 2,10,0,Angry
Anger 2,11,0,Angry
annoy 6,4,0,Angry
annoy 6,5,0,Angry
annoy 6,6,0,Angry
annoy 6,8,0,Angry
annoy 6,9,0,Angry
annoy 6,11,0,Angry
annoy 6,12,0,Angry
annoy 6,13,0,Angry
annoy 6,14,0,Angry
annoy 6,15,0,Angry
annoy 6,17,0,Angry
annoy 6,18,0,Angry
annoy 6,19,0,Angry
annoy 6,20,0,Angry
annoy 6,22,0,Angry
annoy 6,23,0,Angry
annoy 6,24,0,Angry
annoy 6,25,0,Angry
annoy 6,26,0,Angry
annoy 6,27,0,Angry
annoy 6,28,0,Angry
annoy 6,29,0,Angry
annoy 6,30,0,Angry
annoy 6,31,0,Angry
annoy 6,32,0,Angry
annoy 6,33,0,Angry
annoy 6,34,0,Angry
annoy 6,35,0,Angry
annoy 6,36,0,Angry
annoy 6,37,0,Angry
annoy 6,39,0,Angry
annoy 6,40,0,Angry
annoy 6,41,0,Angry
annoy 6,42,0,Angry
annoy 6,43,0,Angry
annoy 6,44,0,Angry
annoy 6,45,0,Angry
annoy 6,46,0,Angry
annoy 6,47,0,Angry
annoy 1,10,0,Angry
annoy 1,11,0,Angry
annoy 1,12,0,Angry
annoy 1,19,0,Angry
annoy 1,20,0,Angry
annoy 1,21,0,Angry
annoy 1,22,0,Angry
annoy 1,23,0,Angry
annoy 1,24,0,Angry
annoy 1,25,0,Angry
