video id ,time,lable ,type
joy_10,0,Happy,1
joy_10,1,Happy,1
joy_10,2,Happy,1
joy_10,3,Happy,1
joy_10,4,Happy,1
joy_10,5,Happy,1
joy_10,6,Happy,1
joy_10,7,Happy,1
joy_10,8,Happy,1
joy_10,9,Happy,1
joy_10,10,Happy,1
joy_10,11,Happy,1
joy_10,12,Happy,1
joy_10,13,Happy,1
joy_10,14,Happy,1
joy_10,15,Happy,1
joy_10,16,Happy,1
joy_10,17,Happy,1
joy_10,18,Happy,1
joy_10,19,Happy,1
joy_10,20,Happy,1
joy_10,21,Happy,1
joy_10,22,Happy,1
joy_10,23,Happy,1
joy_10,24,Happy,1
joy_10,25,Happy,1
joy_10,26,Happy,1
joy_10,27,Happy,1
joy_10,28,Neutral,0.5
joy_10,29,Neutral,0.5
joy_10,30,Neutral,0.5
joy_10,31,Neutral,0.5
joy_10,32,Neutral,0.5
joy_10,33,Neutral,0.5
joy_10,34,Neutral,0.5
joy_10,35,Neutral,0.5
joy_10,36,Neutral,0.5
joy_10,37,Neutral,0.5
joy_10,38,Neutral,0.5
joy_10,39,Neutral,0.5
joy_10,40,Neutral,0.5
joy_10,41,Neutral,0.5
joy_10,42,Neutral,0.5
joy_10,43,Neutral,0.5
joy_10,44,Neutral,0.5
joy_10,45,Neutral,0.5
joy_10,46,Neutral,0.5
joy_10,47,Neutral,0.5
joy_10,48,Neutral,0.5
joy_10,49,Neutral,0.5
joy_10,50,Neutral,0.5
joy_10,51,Neutral,0.5
joy_10,52,Neutral,0.5
joy_10,53,Neutral,0.5
joy_10,54,Neutral,0.5
joy_10,55,Neutral,0.5
joy_10,56,Neutral,0.5
joy_10,57,Neutral,0.5
joy_10,58,Neutral,0.5
joy_10,59,Neutral,0.5
joy_10,60,Neutral,0.5
joy_10,61,Neutral,0.5
joy_10,62,Neutral,0.5
joy_10,63,Happy,1
joy_10,64,Happy,1
joy_10,65,Happy,1
joy_10,66,Happy,1
joy_10,67,Happy,1
joy_10,68,Happy,1
joy_10,69,Happy,1
