video id ,time,lable ,type
Joy_8,0,Neutral,0.5
Joy_8,1,Neutral,0.5
Joy_8,2,Neutral,0.5
Joy_8,3,Neutral,0.5
Joy_8,4,Neutral,0.5
Joy_8,5,Neutral,0.5
Joy_8,6,Neutral,0.5
Joy_8,7,Neutral,0.5
Joy_8,8,Neutral,0.5
Joy_8,9,Neutral,0.5
Joy_8,10,Neutral,0.5
Joy_8,11,Neutral,0.5
Joy_8,12,Neutral,0.5
Joy_8,13,Neutral,0.5
Joy_8,14,Neutral,0.5
Joy_8,15,Neutral,0.5
Joy_8,16,Neutral,0.5
Joy_8,17,Neutral,0.5
Joy_8,18,Neutral,0.5
Joy_8,19,Neutral,0.5
Joy_8,20,Neutral,0.5
Joy_8,21,Neutral,0.5
Joy_8,22,Happy,1
Joy_8,23,Happy,1
Joy_8,24,Happy,1
Joy_8,25,Happy,1
Joy_8,26,Happy,1
Joy_8,27,Happy,1
Joy_8,28,Happy,1
Joy_8,29,Happy,1
Joy_8,30,Happy,1
Joy_8,31,Happy,1
Joy_8,32,Happy,1
Joy_8,33,Happy,1
Joy_8,34,Neutral,0.5
Joy_8,35,Happy,1
Joy_8,36,Neutral,0.5
Joy_8,37,Happy,1
Joy_8,38,Happy,1
Joy_8,39,Happy,1
Joy_8,40,Happy,1
Joy_8,41,Happy,1
Joy_8,42,Happy,1
Joy_8,43,Happy,1
Joy_8,44,Happy,1
Joy_8,45,Happy,1
Joy_8,46,Happy,1
Joy_8,47,Happy,1
Joy_8,48,Happy,1
Joy_8,49,Happy,1
Joy_8,50,Happy,1
Joy_8,51,Happy,1
Joy_8,52,Happy,1
Joy_8,53,Happy,1
Joy_8,54,Happy,1
Joy_8,55,Happy,1
Joy_8,56,Happy,1
Joy_8,57,Happy,1
Joy_8,58,Happy,1
Joy_8,59,Happy,1
Joy_8,60,Happy,1
Joy_8,61,Happy,1
Joy_8,62,Happy,1
Joy_8,63,Happy,1
Joy_8,64,Happy,1
