video id ,time,lable ,type
sad_4,0,Sad,0
sad_4,1,Sad,0
sad_4,2,Sad,0
sad_4,3,Sad,0
sad_4,4,Sad,0
sad_4,5,Sad,0
sad_4,6,Sad,0
sad_4,7,Sad,0
sad_4,8,Sad,0
sad_4,9,Sad,0
sad_4,10,Sad,0
sad_4,11,Sad,0
sad_4,12,Sad,0
sad_4,13,Sad,0
sad_4,14,Sad,0
sad_4,15,Sad,0
sad_4,16,Sad,0
sad_4,17,Sad,0
sad_4,18,Sad,0
sad_4,19,Sad,0
sad_4,20,Sad,0
sad_4,21,Sad,0
sad_4,22,Sad,0
sad_4,23,Sad,0
sad_4,24,Sad,0
sad_4,25,Sad,0
sad_4,26,Neutral,0.5
sad_4,27,Neutral,0.5
sad_4,28,Neutral,0.5
sad_4,29,Neutral,0.5
sad_4,30,Neutral,0.5
